rank,name,position,team,comp,attempt,pass_yds,pass_td,int,car,rush_yds,rush_td,receptions,rec_yds,rec_td,tar,pct_rost,pts_tot,pts_avg
281,Joshua Kelley,RB,LAC,0,0,0,0,0,0,0,0,39,545,4,70,5.9,25.2,1.7
282,Gary Brightwell,RB,NYG,0,0,0,0,0,0,0,0,43,580,3,71,0.7,26,1.7
283,Phillip Lindsay,RB,Ind,0,0,0,0,0,10,66,0,40,445,3,61,1.7,24.8,1.7
284,Anthony Schwartz,WR,Cle,0,0,0,0,0,0,0,0,36,459,2,59,1.6,79.3,5
285,Rams D/ST,D/ST,LAR,0,0,0,0,0,63,298,1,14,98,1,17,1.4,134.6,7.9
286,Titans D/ST,D/ST,Ten,0,0,0,0,0,22,94,1,24,191,1,33,0.5,132.6,7.8
287,Mason Crosby,K,GB,0,0,0,0,0,68,295,3,7,55,0,10,1.3,123.4,7.3
288,Chris Boswell,K,Pit,0,0,0,0,0,32,138,1,17,129,1,23,1.2,125.8,7.4
289,Tommy Tremble,TE,Car,0,0,0,0,0,68,289,3,5,33,0,6,1.2,86.8,5.4
290,Kyle Rudolph,TE,TB,0,0,0,0,0,19,79,1,15,99,0,20,0.7,90.3,5.6
291,Jonnu Smith,TE,NE,0,0,0,0,0,51,201,2,8,46,0,10,1.1,69.9,4.4
292,Adam Trautman,TE,NO,0,0,0,0,0,45,192,1,6,45,0,8,0.9,80.6,5
293,Dan Arnold,TE,Jax,305,480,3480,23,13,68,322,2,0,0,0,0,13.6,89.9,5.6
294,Demarcus Robinson,WR,LV,350,537,3783,25,13,45,149,0,0,0,0,0,13.5,76.3,4.8
295,Tutu Atwell,WR,LAR,340,521,3775,23,11,38,114,2,0,0,0,0,13.1,72,4.5
296,Drew Lock,QB,Sea,0,0,0,0,0,0,0,0,50,510,4,72,6.9,172.5,17.2
297,Broncos D/ST,D/ST,Den,0,0,0,0,0,0,0,0,36,384,4,55,11.3,121.9,7.2
298,Vikings D/ST,D/ST,Min,0,0,0,0,0,0,0,0,47,493,4,64,9.8,145.5,8.6
299,Panthers D/ST,D/ST,Car,0,0,0,0,0,0,0,0,35,437,4,54,2.2,135.1,7.9
300,Giants D/ST,D/ST,NYG,0,0,0,0,0,50,195,1,4,30,0,6,0.9,126.8,7.5
301,Mitch Trubisky,QB,Pit,185,287,2000,9,7,28,125,1,0,0,0,0,2.3,136,17
302,Jacoby Brissett,QB,Cle,114,179,1216,9,4,19,64,1,0,0,0,0,0.9,98.7,16.5
303,Qadree Ollison,RB,Atl,0,0,0,0,0,18,75,1,6,39,0,8,0.1,21.4,1.5
304,Dare Ogunbowale,RB,Hou,0,0,0,0,0,10,43,0,8,62,0,12,0.3,22.7,1.5
305,Craig Reynolds,RB,Det,0,0,0,0,0,20,84,1,4,29,0,5,0.3,20.5,1.5
306,Pierre Strong Jr.,RB,NE,0,0,0,0,0,12,52,0,6,44,0,8,0.7,20.6,1.5
307,Trestan Ebner,RB,Chi,0,0,0,0,0,16,65,1,6,42,0,7,0.3,21.7,1.4
308,Travis Homer,RB,Sea,0,0,0,0,0,15,66,0,6,46,0,8,0.2,21.9,1.5
309,Antonio Williams,RB,NYG,0,0,0,0,0,15,65,1,4,30,0,5,0.1,18.5,1.3
310,Geno Smith,QB,Sea,156,241,1751,8,5,21,73,1,0,0,0,0,0.4,113.3,16.2
311,Cameron Brate,TE,TB,0,0,0,0,0,0,0,0,24,241,3,39,1.8,62,3.9
312,Harrison Bryant,TE,Cle,0,0,0,0,0,0,0,0,24,250,3,35,0.4,64.8,4
313,Donald Parham Jr.,TE,LAC,0,0,0,0,0,0,0,0,20,212,3,30,0.5,57.2,3.6
314,Daniel Bellinger,TE,NYG,0,0,0,0,0,0,0,0,24,246,2,34,0.5,59.4,3.7
315,Desmond Ridder,QB,Atl,164,266,1800,9,7,40,179,1,0,0,0,0,1.2,119.1,14.9
316,Jimmy Garoppolo,QB,SF,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0
317,Sam Darnold,QB,Car,23,38,251,1,1,3,11,0,0,0,0,0,0.5,14.1,7.1
318,Teddy Bridgewater,QB,Mia,46,70,500,3,1,7,24,0,0,0,0,0,0.5,43.1,10.8
319,Gardner Minshew,QB,Phi,38,60,433,3,1,9,45,0,0,0,0,0,0.4,37.2,9.3
320,Larry Rountree III,RB,LAC,0,0,0,0,0,21,87,1,2,15,0,3,0.2,17.6,1.3
321,Jake Funk,RB,LAR,0,0,0,0,0,20,86,1,2,15,0,3,0.2,17.3,1.2
322,Ameer Abdullah,RB,LV,0,0,0,0,0,8,32,0,6,48,0,9,0.4,18.6,1.2
323,Kylen Granson,TE,Ind,0,0,0,0,0,0,0,0,22,231,2,32,0.2,57.9,3.6
324,John Bates,TE,Wsh,0,0,0,0,0,0,0,0,22,236,2,32,0.2,57.3,3.6
325,O.J. Howard,TE,Buf,0,0,0,0,0,0,0,0,19,228,2,29,0.7,51.8,3.5
326,Cade Otton,TE,TB,0,0,0,0,0,0,0,0,13,141,1,20,0.4,34.6,2.2
327,Trey McBride,TE,Ari,0,0,0,0,0,0,0,0,13,135,1,19,1,32.9,2.1
328,Foster Moreau,TE,LV,0,0,0,0,0,0,0,0,19,215,2,29,0.4,52.9,3.3
329,Greg Dulcich,TE,Den,0,0,0,0,0,0,0,0,19,200,2,28,0.7,52.2,3.3
330,Josiah Deguara,TE,GB,0,0,0,0,0,0,0,0,19,209,2,28,0.2,52.7,3.3
331,Will Dissly,TE,Sea,0,0,0,0,0,0,0,0,21,203,1,28,0.2,49.7,3.3
