"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
90,"Allen Lazard","WR","GB",0,0,0,0,0,4,26,0,60,784,7,92,83.1,184.1,12.3,15,42,"wr4",0.450000000000001,0.699999999999999,0.0379746835443039,0.0603448275862068,1.0379746835443,1.06034482758621,0.152173913043478,1.15217391304348,1.083497808058
91,"DeAndre Hopkins","WR","Ari",0,0,0,0,0,0,0,0,57,664,5,82,86.4,153.2,15.3,10,43,"wr4",3.45,3.7,0.291139240506329,0.318965517241379,1.29113924050633,1.31896551724138,0.804347826086956,1.80434782608696,1.47148419461155
92,"Brandon Aiyuk","WR","SF",0,0,0,0,0,2,15,0,62,806,6,99,81.8,178.5,11.2,16,44,"wr4",-0.65,-0.400000000000002,-0.0548523206751055,-0.0344827586206898,0.945147679324895,0.96551724137931,-0.0869565217391309,0.913043478260869,0.941236132988358
93,"Chase Claypool","WR","Pit",0,0,0,0,0,12,72,1,60,863,4,106,81.3,172,10.7,16,45,"wr4",-1.15,-0.900000000000002,-0.0970464135021097,-0.0775862068965519,0.90295358649789,0.922413793103448,-0.195652173913044,0.804347826086956,0.876571735229431
94,"Robert Woods","WR","Ten",0,0,0,0,0,2,15,0,69,838,4,106,77.1,179,11.9,15,46,"wr4",0.0500000000000007,0.299999999999999,0.00421940928270048,0.0258620689655171,1.0042194092827,1.02586206896552,0.0652173913043476,1.06521739130435,1.03176628985086
95,"Tony Pollard","RB","Dal",0,0,0,0,0,159,770,4,36,270,1,45,86,184.5,12.3,15,31,"rb3",0.116666666666667,0.15,0.0095759233926129,0.0123456790123457,8.0766073871409,8.09876543209877,0.0441176470588237,8.35294117647059,8.17610466523675
96,"Rhamondre Stevenson","RB","NE",0,0,0,0,0,154,655,6,35,269,1,45,79.3,175.7,11.7,15,32,"rb3",-0.483333333333334,-0.450000000000001,-0.0396716826265391,-0.0370370370370371,7.68262653898769,7.7037037037037,-0.132352941176471,6.94117647058823,7.44250223775987
97,"AJ Dillon","RB","GB",0,0,0,0,0,174,746,5,28,207,1,34,84.7,161.7,10.8,15,33,"rb3",-1.38333333333333,-1.35,-0.113543091655267,-0.111111111111111,7.09165526675787,7.11111111111111,-0.397058823529412,4.8235294117647,6.34209859654456
98,"Chase Edmonds","RB","Mia",0,0,0,0,0,100,468,3,48,334,2,62,80.6,162.8,10.9,15,34,"rb3",-1.28333333333333,-1.25,-0.105335157318741,-0.102880658436214,7.15731874145007,7.17695473251029,-0.36764705882353,5.05882352941176,6.46436566779071
99,"James Robinson","RB","Jax",0,0,0,0,0,169,755,6,26,196,1,36,78.7,165,11.8,14,35,"rb3",-0.383333333333333,-0.35,-0.0314637482900136,-0.0288065843621399,7.74829001367989,7.76954732510288,-0.102941176470588,7.17647058823529,7.56476930900602
100,"Matthew Stafford","QB","LAR",380,573,4327,32,14,35,82,1,0,0,0,0,86.8,362.6,22.7,16,12,"QB1",-1.55,-1.15,-0.0639175257731959,-0.0482180293501049,9.36082474226804,9.51781970649895,-0.164285714285715,8.35714285714285,9.07859576863662
101,"Trey Lance","QB","SF",297,457,3488,22,12,113,519,4,0,0,0,0,83.6,328.8,20.5,16,13,"QB2",1.125,1.65,0.0580645161290323,0.0875331564986737,1.05806451612903,1.08753315649867,0.294642857142857,1.29464285714286,1.14674684325685
102,"Dallas Goedert","TE","Phi",0,0,0,0,0,0,0,0,58,688,4,82,89.8,155.4,10.4,15,8,"te1",-0.924999999999999,-0.799999999999999,-0.0816777041942604,-0.0714285714285713,4.5916114790287,4.64285714285714,-0.123076923076923,4.38461538461539,4.53969466883374
103,"Zach Ertz","TE","Ari",0,0,0,0,0,0,0,0,59,619,5,89,88,148.2,9.3,16,9,"te1",-2.025,-1.9,-0.178807947019867,-0.169642857142857,4.10596026490066,4.15178571428572,-0.292307692307692,3.53846153846154,3.93206917254931
104,"Mike Gesicki","TE","Mia",0,0,0,0,0,0,0,0,56,622,5,89,86.4,144,9,16,10,"te1",-2.325,-2.2,-0.205298013245033,-0.196428571428571,3.97350993377483,4.01785714285714,-0.338461538461538,3.30769230769231,3.7663531281081
105,"Pat Freiermuth","TE","Pit",0,0,0,0,0,0,0,0,63,563,4,88,82.1,149.3,9.3,16,11,"te1",-2.025,-1.9,-0.178807947019867,-0.169642857142857,4.10596026490066,4.15178571428572,-0.292307692307692,3.53846153846154,3.93206917254931
106,"Rashaad Penny","RB","Sea",0,0,0,0,0,169,810,5,26,195,1,34,82,166.4,12.8,13,36,"rb3",0.616666666666667,0.65,0.0506155950752394,0.0534979423868313,8.40492476060192,8.42798353909465,0.191176470588235,9.52941176470588,8.78744002146748
107,"Kenneth Walker III","RB","Sea",0,0,0,0,0,156,684,4,21,155,1,28,75.5,134.4,9,15,37,"rb4",-0.133333333333333,-0.25,-0.0145985401459854,-0.027027027027027,0.985401459854015,0.972972972972973,-0.104166666666667,0.895833333333333,0.951402588720107
108,"Chris Olave","WR","NO",0,0,0,0,0,0,0,0,60,853,6,100,79.6,172.9,10.8,16,47,"wr4",-1.05,-0.800000000000001,-0.0886075949367088,-0.0689655172413794,0.911392405063291,0.931034482758621,-0.173913043478261,0.826086956521739,0.889504614781217
109,"Treylon Burks","WR","Ten",0,0,0,0,0,7,44,0,59,792,5,94,77.7,171.6,10.7,16,48,"wr4",-1.15,-0.900000000000002,-0.0970464135021097,-0.0775862068965519,0.90295358649789,0.922413793103448,-0.195652173913044,0.804347826086956,0.876571735229431
115,"James Cook","RB","Buf",0,0,0,0,0,84,363,2,43,324,2,56,75.4,142.8,9.5,15,38,"rb4",0.366666666666667,0.25,0.0401459854014599,0.027027027027027,1.04014598540146,1.02702702702703,0.104166666666667,1.10416666666667,1.05711322636505
