"gsis_id","name","position","games","pts_tot","pts_avg","pts_std_tot","pts_std_avg","pts_adj_tot","pts_adj_avg"
"00-0036412","K.Hamler","WR",6,24.94,4.15666666666667,25.8,4.3,-0.86,-0.143333333333333
"00-0036414","C.Akers","RB",15,193.58,12.9053333333333,145.3,9.68666666666667,48.28,3.21866666666667
"00-0036415","V.Jefferson","WR",10,73.86,7.386,78.9,7.89,-5.04,-0.504
"00-0036422","A.Trautman","TE",12,48.18,4.015,44.7,3.725,3.48,0.29
"00-0036423","A.Okwuegbunam","TE",6,23.62,3.93666666666667,25.5,4.25,-1.88,-0.313333333333333
"00-0036424","B.Hopkins","TE",7,17.64,2.52,17.9,2.55714285714286,-0.26,-0.0371428571428572
"00-0036425","D.Dallas","RB",11,60.82,5.52909090909091,46.2,4.2,14.62,1.32909090909091
"00-0036429","C.Woerner","TE",2,-1.32,-0.66,0,0,-1.32,-0.66
"00-0036438","S.Sullivan","TE",4,4.64,1.16,6.6,1.65,-1.96,-0.49
"00-0036439","T.Cleveland","WR",6,4.36,0.726666666666667,9.6,1.6,-5.24,-0.873333333333333
"00-0036442","J.Burrow","QB",16,430.58,26.91125,422.8,26.425,7.77999999999995,0.486249999999997
"00-0036450","K.Vaughn","RB",5,13.74,2.748,10.2,2.04,3.54,0.708
"00-0036457","T.Williams","RB",1,1.84,1.84,1.5,1.5,0.34,0.34
"00-0036482","M.Strachan","WR",5,5.96,1.192,8.9,1.78,-2.94,-0.588
"00-0036493","D.Jackson","RB",12,108.22,9.01833333333333,86.5,7.20833333333333,21.72,1.81
"00-0036497","T.Jones","WR",4,6.36,1.59,6,1.5,0.36,0.09
"00-0036527","D.Turner","WR",2,3.5,1.75,2.6,1.3,0.9,0.45
"00-0036534","S.Zylstra","TE",8,42.1,5.2625,41,5.125,1.1,0.1375
"00-0036543","S.Brown","RB",2,9.24,4.62,7.3,3.65,1.94,0.97
"00-0036550","R.Bateman","WR",6,52.02,8.67,55.5,9.25,-3.48,-0.58
"00-0036554","N.Collins","WR",10,90.54,9.054,97.1,9.71,-6.56,-0.656
"00-0036555","C.Hubbard","RB",12,118.04,9.83666666666667,87.3,7.275,30.74,2.56166666666667
"00-0036556","B.Jordan","TE",9,22.32,2.48,26.8,2.97777777777778,-4.48,-0.497777777777778
"00-0036567","E.Mitchell","RB",5,60.7,12.14,43.6,8.72,17.1,3.42
"00-0036569","G.Brightwell","RB",8,37.18,4.6475,29,3.625,8.18,1.0225
"00-0036572","S.Smith","WR",15,57.88,3.85866666666667,63.6,4.24,-5.72,-0.381333333333333
"00-0036590","Q.Morris","TE",6,23.14,3.85666666666667,22.4,3.73333333333333,0.74,0.123333333333333
"00-0036613","J.Waddle","WR",17,259.88,15.2870588235294,261.2,15.3647058823529,-1.32,-0.0776470588235297
"00-0036620","D.Eskridge","WR",8,12.82,1.6025,13.8,1.725,-0.98,-0.1225
"00-0036626","D.Brown","WR",7,29.46,4.20857142857143,32.8,4.68571428571429,-3.34,-0.477142857142857
"00-0036628","J.Bates","TE",9,30.28,3.36444444444444,30.8,3.42222222222222,-0.52,-0.0577777777777778
"00-0036630","T.Wallace","WR",5,6.68,1.336,7.3,1.46,-0.62,-0.124
"00-0036635","I.Smith-Marsette","WR",3,0.7,0.233333333333333,2.4,0.8,-1.7,-0.566666666666667
"00-0036637","N.Gray","TE",17,75.62,4.44823529411765,70,4.11764705882353,5.62,0.330588235294118
"00-0036646","S.Fehoko","WR",2,5.76,2.88,5.4,2.7,0.36,0.18
"00-0036650","L.Rountree","RB",2,7.12,3.56,5.3,2.65,1.82,0.91
"00-0036652","R.McMath","WR",4,3.36,0.84,6.4,1.6,-3.04,-0.76
"00-0036654","D.Felton","RB",4,1.52,0.38,2.4,0.6,-0.88,-0.22
"00-0036671","D.Milne","WR",7,17.08,2.44,15.7,2.24285714285714,1.38,0.197142857142857
"00-0036692","M.Forristall","TE",1,-0.66,-0.66,0,0,-0.66,-0.66
"00-0036727","A.Prentice","RB",5,6.36,1.272,4.8,0.96,1.56,0.312
"00-0036741","J.Stoll","TE",9,25.06,2.78444444444444,23.3,2.58888888888889,1.76,0.195555555555556
"00-0036754","B.Wright","TE",13,65.76,5.05846153846154,63.6,4.89230769230769,2.16,0.166153846153846
"00-0036755","J.Patterson","RB",1,11.82,11.82,7.8,7.8,4.02,4.02
"00-0036810","C.Johnson","WR",2,3.46,1.73,4.1,2.05,-0.64,-0.32
"00-0036825","F.Franks","TE",2,-1.32,-0.66,0,0,-1.32,-0.66
"00-0036829","C.Huntley","RB",12,67.54,5.62833333333333,44.9,3.74166666666667,22.64,1.88666666666667
"00-0036841","A.Trammell","WR",2,2.66,1.33,3.3,1.65,-0.64,-0.32
"00-0036842","K.Nwangwu","RB",2,7.02,3.51,5.5,2.75,1.52,0.76
"00-0036849","T.Atwell","WR",12,60.14,5.01166666666667,63.2,5.26666666666667,-3.06,-0.255
"00-0036857","C.Evans","RB",4,13.16,3.29,12.8,3.2,0.36,0.09
"00-0036858","J.Camp","WR",1,2.04,2.04,1.7,1.7,0.34,0.34
"00-0036862","B.Skowronek","WR",14,84.06,6.00428571428571,84.3,6.02142857142857,-0.240000000000001,-0.0171428571428572
"00-0036875","R.Stevenson","RB",17,323.1,19.0058823529412,251.1,14.7705882352941,72,4.23529411764706
"00-0036876","K.Granson","TE",13,65.8,5.06153846153846,61.2,4.70769230769231,4.6,0.353846153846154
"00-0036877","J.Darden","WR",3,5.6,1.86666666666667,4.8,1.6,0.8,0.266666666666667
"00-0036879","S.Ehlinger","QB",4,25.6,6.4,43.72,10.93,-18.12,-4.53
"00-0036887","L.Farrell","TE",4,9.36,2.34,8,2,1.36,0.34
"00-0036893","N.Harris","RB",17,296.57,17.4452941176471,227.86,13.4035294117647,68.71,4.04176470588235
"00-0036894","P.Freiermuth","TE",15,146.52,9.768,148.2,9.88,-1.68,-0.112
"00-0036898","D.Mills","QB",15,167.24,11.1493333333333,220.42,14.6946666666667,-53.18,-3.54533333333334
"00-0036900","J.Chase","WR",12,243.44,20.2866666666667,246.4,20.5333333333333,-2.96,-0.246666666666667
"00-0036906","K.Herbert","RB",13,162.74,12.5184615384615,117.8,9.06153846153846,44.94,3.45692307692308
"00-0036912","D.Smith","WR",17,262.58,15.4458823529412,258,15.1764705882353,4.58,0.269411764705882
"00-0036913","K.Toney","WR",9,67.02,7.44666666666667,59.3,6.58888888888889,7.72,0.857777777777778
"00-0036918","J.Harris","WR",1,1.94,1.94,1.6,1.6,0.34,0.34
"00-0036919","K.Gainwell","RB",17,106.16,6.24470588235294,87.9,5.17058823529412,18.26,1.07411764705882
"00-0036924","Mi.Carter","RB",16,157.48,9.8425,128,8,29.48,1.8425
"00-0036928","K.Trask","QB",1,-3.13,-3.13,0.92,0.92,-4.05,-4.05
"00-0036936","R.Moore","WR",8,91.64,11.455,87.9,10.9875,3.74,0.4675
"00-0036945","J.Fields","QB",15,286.48,19.0986666666667,332.68,22.1786666666667,-46.2,-3.08
"00-0036950","A.Williams","RB",14,46.3,3.30714285714286,36,2.57142857142857,10.3,0.735714285714286
