"game_id","gsis_id","name","position","game","pts_gm","pts_gm_std","pts_gm_adj"
"2021_01_GB_NO","00-0023459","Aa.Rodgers","QB",1,-3.93,1.32,-5.25
"2021_01_GB_NO","00-0024243","M.Lewis","TE",1,3.24,2.9,0.34
"2021_01_GB_NO","00-0028002","R.Cobb","WR",1,4.7,4.3,0.4
"2021_01_GB_NO","00-0028237","C.Hogan","WR",1,8.34,8,0.34
"2021_01_GB_NO","00-0031381","D.Adams","WR",1,10.98,10.6,0.38
"2021_01_GB_NO","00-0031503","J.Winston","QB",1,45.1,39.72,5.37999999999999
"2021_01_GB_NO","00-0032200","T.Montgomery","WR",1,1.84,1.5,0.34
"2021_01_GB_NO","00-0033293","A.Jones","RB",1,5.42,4.2,1.22
"2021_01_GB_NO","00-0033357","T.Hill","QB",1,0.93,0.22,0.71
"2021_01_GB_NO","00-0033757","R.Tonyan","TE",1,2.16,2.8,-0.64
"2021_01_GB_NO","00-0033906","A.Kamara","RB",1,23.44,18.1,5.34
"2021_01_GB_NO","00-0034272","M.Valdes-Scantling","WR",1,2.42,4.7,-2.28
"2021_01_GB_NO","00-0034521","A.Lazard","WR",1,2.96,3.6,-0.64
"2021_01_GB_NO","00-0035215","D.Harris","WR",1,15.88,15.2,0.68
"2021_01_GB_NO","00-0035480","M.Taylor","WR",1,3.42,3.4,0.02
"2021_01_GB_NO","00-0035860","T.Jones","RB",1,9.64,6.3,3.34
"2021_01_GB_NO","00-0036040","J.Johnson","TE",1,18.12,17.1,1.02
"2021_01_GB_NO","00-0036219","M.Callaway","WR",1,2.08,2.4,-0.32
"2021_01_GB_NO","00-0036264","J.Love","QB",1,1.97,2.72,-0.75
"2021_01_GB_NO","00-0036265","A.Dillon","RB",1,4.42,3.6,0.82
"2021_01_GB_NO","00-0036422","A.Trautman","TE",1,3.84,4.8,-0.96
"2021_01_GB_NO","00-0036669","K.Hill","RB",1,2.24,1.4,0.84
"2021_01_GB_NO","00-0036991","Am.Rodgers","WR",1,3.24,2.9,0.34
"2021_01_JAX_HOU","00-0026035","D.Amendola","WR",1,16.1,14.4,1.7
"2021_01_JAX_HOU","00-0027966","M.Ingram","RB",1,18.94,14.5,4.44
"2021_01_JAX_HOU","00-0028118","Ty.Taylor","QB",1,29.85,27.74,2.11
"2021_01_JAX_HOU","00-0029293","M.Jones","WR",1,17.76,18.7,-0.94
"2021_01_JAX_HOU","00-0030288","R.Burkhead","RB",1,1.28,1.6,-0.32
"2021_01_JAX_HOU","00-0031045","C.Hyde","RB",1,11.12,7.8,3.32
"2021_01_JAX_HOU","00-0031236","B.Cooks","WR",1,18.58,18.2,0.38
"2021_01_JAX_HOU","00-0031484","C.Manhertz","TE",1,9.54,9.2,0.34
"2021_01_JAX_HOU","00-0031934","D.Smith","WR",1,-0.66,0,-0.66
"2021_01_JAX_HOU","00-0031951","J.O'Shaughnessy","TE",1,11.52,10.8,0.72
"2021_01_JAX_HOU","00-0032128","C.Conley","WR",1,5.38,4.7,0.68
"2021_01_JAX_HOU","00-0032187","D.Johnson","RB",1,12.76,11.8,0.96
"2021_01_JAX_HOU","00-0033439","P.Brown","TE",1,11.4,10.7,0.7
"2021_01_JAX_HOU","00-0034109","P.Lindsay","RB",1,9.34,8.5,0.84
"2021_01_JAX_HOU","00-0034364","J.Akins","TE",1,-1.32,0,-1.32
"2021_01_JAX_HOU","00-0034777","D.Chark","WR",1,12.68,17.6,-4.92
"2021_01_JAX_HOU","00-0035457","T.Johnson","WR",1,1.94,1.6,0.34
"2021_01_JAX_HOU","00-0035831","J.Robinson","RB",1,8.94,8.4,0.54
"2021_01_JAX_HOU","00-0036268","L.Shenault","WR",1,13.84,12.9,0.939999999999999
"2021_01_JAX_HOU","00-0036554","N.Collins","WR",1,0.72,1.7,-0.98
"2021_01_JAX_HOU","00-0036971","T.Lawrence","QB",1,18.48,25.28,-6.8
"2021_01_LAC_WAS","00-0023682","R.Fitzpatrick","QB",1,-2.21,0.72,-2.93
"2021_01_LAC_WAS","00-0027061","J.Cook","TE",1,10.32,10.6,-0.28
"2021_01_LAC_WAS","00-0030279","K.Allen","WR",1,19.42,19,0.42
"2021_01_LAC_WAS","00-0031260","L.Thomas","TE",1,13.02,12,1.02
"2021_01_LAC_WAS","00-0031800","T.Heinicke","QB",1,16.75,12.58,4.17
"2021_01_LAC_WAS","00-0032009","A.Humphries","WR",1,3.68,3,0.68
"2021_01_LAC_WAS","00-0032602","J.McKissic","RB",1,0.62,0.8,-0.18
"2021_01_LAC_WAS","00-0032725","S.Anderson","TE",1,0.78,1.1,-0.32
"2021_01_LAC_WAS","00-0033536","M.Williams","WR",1,22.28,22.2,0.0800000000000001
"2021_01_LAC_WAS","00-0033699","A.Ekeler","RB",1,15.12,11.7,3.42
"2021_01_LAC_WAS","00-0034104","C.Sims","WR",1,3.04,2.7,0.34
"2021_01_LAC_WAS","00-0034440","J.Jackson","RB",1,2.34,1.7,0.64
"2021_01_LAC_WAS","00-0035329","D.Parham","TE",1,-0.66,0,-0.66
"2021_01_LAC_WAS","00-0035414","J.Guyton","WR",1,7.6,7.9,-0.3
"2021_01_LAC_WAS","00-0035659","T.McLaurin","WR",1,11.56,10.2,1.36
"2021_01_LAC_WAS","00-0035908","G.Nabers","FB",1,0.32,0.2,0.12
"2021_01_LAC_WAS","00-0036328","A.Gibson","RB",1,18.9,13.8,5.1
