"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
39,"Diontae Johnson","WR","Pit",0,0,0,0,0,4,26,0,87,1065,4,141,96.2,213.2,13.3,16,19,"wr2",-0.558333333333337,-1.60000000000002,-0.00261198393824804,-0.00744878957169471,23.937312385482,23.8212290502793,-0.0869565217391316,21.9130434782608,23.2238616380074
40,"Josh Jacobs","RB","LV",0,0,0,0,0,219,918,9,37,264,1,47,96.4,218.3,14.6,15,20,"rb2",-3.68333333333334,-3.59999999999997,-0.0165928373000976,-0.0162235241099593,24.5851790674976,24.594411897251,-0.0825688073394488,22.9357798165138,24.0384569270875
41,"Antonio Gibson","RB","Wsh",0,0,0,0,0,233,987,9,29,211,1,38,94.2,209.3,14,15,23,"rb2",-12.6833333333333,-12.6,-0.0571364216532773,-0.0567823343848579,23.5715894586681,23.5804416403786,-0.288990825688073,17.7752293577982,21.6424201522816
42,"Josh Allen","QB","Buf",369,575,4108,33,13,113,677,7,0,0,0,0,99.8,453.4,28.3,16,1,"QB1",67.4,71.75,0.174611398963731,0.187999475959649,11.7461139896373,11.8799947595965,0.633274492497794,16.3327449249779,13.3196178914039
43,"Mike Williams","WR","LAC",0,0,0,0,0,0,0,0,63,954,9,108,95.7,203,13.5,15,26,"wr3",4.43333333333334,3.80000000000001,0.0223266745005876,0.0190763052208836,10.2232667450059,10.1907630522088,0.296875000000001,12.96875,11.1275932657382
44,"Brandin Cooks","WR","Hou",0,0,0,0,0,4,24,0,85,1033,4,126,94.3,218.1,13.6,16,14,"wr2",4.34166666666667,3.29999999999998,0.0203110989824958,0.01536312849162,24.4874663755799,24.3687150837989,0.179347826086956,28.3043478260869,25.7201764284886
45,"Marquise Brown","WR","Ari",0,0,0,0,0,0,0,0,75,1027,6,119,92.7,208.2,13,16,22,"wr2",-5.55833333333334,-6.60000000000002,-0.0260028848777826,-0.0307262569832403,23.3759307629332,23.2625698324022,-0.358695652173914,15.3913043478261,20.6766016477205
46,"DK Metcalf","WR","Sea",0,0,0,0,0,0,0,0,74,1082,5,125,97,203,12.7,16,27,"wr3",4.43333333333334,3.80000000000001,0.0223266745005876,0.0190763052208836,10.2232667450059,10.1907630522088,0.296875000000001,12.96875,11.1275932657382
47,"Jerry Jeudy","WR","Den",0,0,0,0,0,4,24,0,71,1047,6,117,94,206.5,12.9,16,24,"wr2",-7.25833333333333,-8.30000000000001,-0.0339557911972242,-0.0386405959031658,23.1850610112666,23.072625698324,-0.45108695652174,13.1739130434782,19.810533251023
48,"Patrick Mahomes","QB","KC",395,614,4594,36,12,62,358,3,0,0,0,0,99.8,432.9,27.1,16,2,"QB1",46.9,51.25,0.121502590673575,0.134285339971178,11.2150259067358,11.3428533997118,0.45233892321271,14.5233892321271,12.3604228461915
